
LIGAS ENCONTRADAS
======================================================================
ID: 260 | Pacific Coast Soccer League | País: Canada
ID: 566 | Ligue A | País: Burundi
ID: 572 | Srpska Liga - Belgrade | País: Serbia
ID: 573 | Srpska Liga - Vojvodina | País: Serbia
ID: 574 | Srpska Liga - East | País: Serbia
ID: 575 | Srpska Liga - West | País: Serbia
ID: 576 | Gamma Ethniki - Group 1 | País: Greece
ID: 577 | Gamma Ethniki - Group 2 | País: Greece
ID: 578 | Gamma Ethniki - Group 3 | País: Greece
ID: 579 | Gamma Ethniki - Group 4 | País: Greece
ID: 580 | Gamma Ethniki - Group 5 | País: Greece
ID: 581 | Gamma Ethniki - Group 6 | País: Greece
ID: 582 | Gamma Ethniki - Group 7 | País: Greece
ID: 583 | Gamma Ethniki - Group 8 | País: Greece
ID: 587 | World Cup - U17 | País: World
ID: 590 | A Division | País: Nepal
ID: 599 | 1. Liga Classic - Group 1 | País: Switzerland
ID: 600 | 1. Liga Classic - Group 2 | País: Switzerland
ID: 601 | 1. Liga Classic - Group 3 | País: Switzerland
ID: 613 | Baiano - 2 | País: Brazil
ID: 620 | Cearense - 2 | País: Brazil
ID: 625 | Carioca - 2 | País: Brazil
ID: 633 | NB III - Northeast | País: Hungary
ID: 634 | NB III - Southwest | País: Hungary
ID: 635 | NB III - Northwest | País: Hungary
ID: 192 | New South Wales NPL | País: Australia
ID: 194 | South Australia NPL | País: Australia
ID: 195 | Victoria NPL | País: Australia
ID: 196 | Western Australia NPL | País: Australia
ID: 357 | Premier Division | País: Ireland
ID: 358 | First Division | País: Ireland
ID: 275 | Liga 2 | País: Indonesia
ID: 395 | Liga 1 | País: Moldova
ID: 267 | Copa Chile | País: Chile
ID: 171 | FA Cup | País: China
ID: 241 | Copa Colombia | País: Colombia
ID: 147 | Cup | País: Belgium
ID: 167 | Cup | País: Iceland
ID: 168 | League Cup | País: Iceland
ID: 359 | FAI Cup | País: Ireland
ID: 360 | League Cup | País: Ireland
ID: 385 | Toto Cup Ligat Al | País: Israel
ID: 264 | Copa MX | País: Mexico
ID: 11 | CONMEBOL Sudamericana | País: World
ID: 12 | CAF Champions League | País: World
ID: 13 | CONMEBOL Libertadores | País: World
ID: 209 | Schweizer Cup | País: Switzerland
ID: 115 | Svenska Cupen | País: Sweden
ID: 375 | Cup | País: Slovenia
ID: 181 | FA Cup | País: Scotland
ID: 809 | Super Cup | País: Andorra
ID: 810 | Super Copa | País: Argentina
ID: 811 | Federation Cup | País: Bangladesh
ID: 813 | Elite Two | País: Cameroon
ID: 816 | Shield Cup | País: Jordan
ID: 817 | Super Cup Primavera | País: Italy
ID: 819 | Super Cup | País: Kosovo
ID: 820 | Crown Prince Cup | País: Kuwait
ID: 821 | FA Trophy | País: Malta
ID: 822 | Cup | País: Morocco
ID: 828 | Ligue 2 | País: Tunisia
ID: 829 | Youth League | País: Turkmenistan
ID: 830 | Super Cup | País: Uzbekistan
